RES,POW,TotalFlow
1207001,1209034,150
1207004,1205016,20
1207004,1207001,285
1207004,1207004,215
1207004,1207011,75
1207004,1207012,135
1207011,1207001,500
1207011,1207004,105
1207011,1207011,1025
1207011,1207012,695
1207011,1207016,185
1207011,1207021,95
1207011,1207024,250
1207011,1208001,40
1207011,1208002,25
1207011,1209034,125
1207012,1207001,275
1207012,1207004,45
1207012,1207011,595
1207012,1207012,800
1207012,1207016,245
1207012,1207021,50
1207012,1207024,130
1207012,1209034,85
1207016,1205016,25
1207016,1207001,540
1207016,1207004,130
1207016,1207011,850
1207016,1207012,1180
1207016,1207016,670
1207016,1207021,140
1207016,1207024,405
1207016,1208001,30
1207016,1208002,50
1207016,1209034,205
1207021,1207001,115
1207021,1207004,25
1207021,1207011,220
1207021,1207012,195
1207021,1207016,45
1207021,1207021,310
1207021,1207024,325
1207021,1208001,135
1207021,1208002,135
1207021,1209034,175
1207024,1207001,75
1207024,1207011,160
1207024,1207012,175
1207024,1207016,50
1207024,1207021,50
1207024,1207024,625
1207024,1208001,30
1207024,1208002,45
1207024,1209034,100
1208001,1206009,20
1208001,1207001,100
1208001,1207004,20
1208001,1207011,115
1208001,1207012,175
1208001,1207016,65
1208001,1207021,75
1208001,1207024,175
1208001,1208001,1100
1208001,1208002,1345
1208001,1208008,130
1208001,1209034,1885
1208002,1207011,50
1208002,1207012,35
1208002,1207024,20
1208002,1208001,125
1208002,1208002,500
1208002,1208008,20
1208002,1209034,220
1208008,1206001,20
1208008,1206004,20
1208008,1207001,25
1208008,1208001,60
1208008,1208002,95
1208008,1208008,2715
1208008,1208014,35
1208008,1209034,5150
1208008,1210001,40
1208008,1210002,90
1208008,1210006,315
1208008,1210008,60
1208008,4816037,35
1208014,1208014,165
1209019,1209034,40
1209034,1001519,105
1209034,1102075,35
1209034,1201006,25
1209034,1204010,20
1209034,1206001,80
1209034,1206004,180
1209034,1206006,35
1209034,1206009,200
1209034,1207001,125
1209034,1207011,70
1209034,1207012,75
1209034,1207016,20
1209034,1207021,50
1209034,1207024,130
1209034,1208001,75
1209034,1208002,130
1209034,1208008,1680
1209034,1208014,25
1209034,1209019,110
1209034,1209034,166455
1209034,1210001,85
1209034,1210002,40
1209034,1210003,30
1209034,1210006,365
1209034,1210008,110
1209034,1211011,45
1209034,1211014,25
1209034,1212004,20
1209034,1212009,30
1209034,1212011,20
1209034,1212014,45
1209034,1214002,60
1209034,1215006,20
1209034,1217030,145
1209034,1301006,35
1209034,1307022,25
1209034,1310032,25
1209034,2423027,20
1209034,2425213,20
1209034,2456083,30
1209034,2466023,35
1209034,2481017,20
1209034,3506008,95
1209034,3520005,135
1209034,3521005,55
1209034,3539036,25
1209034,3543021,30
1209034,4611040,20
1209034,4806016,70
1209034,4811061,40
1209034,4815035,25
1209034,4816037,265
1209034,5915022,20
1210001,1208008,215
1210001,1208014,35
1210001,1209034,570
1210001,1210001,965
1210001,1210002,120
1210001,1210003,100
1210001,1210006,2010
1210001,1210008,625
1210001,1210012,25
1210001,1212006,20
1210001,1212009,40
1210001,1212011,25
1210001,1212014,40
1210002,1208008,90
1210002,1209034,155
1210002,1210001,30
1210002,1210002,110
1210002,1210006,45
1210002,1210008,20
1210003,1210003,125
1210003,1210006,45
1210006,1208008,45
1210006,1209034,220
1210006,1210001,410
1210006,1210003,60
1210006,1210006,2940
1210006,1210008,480
1210006,1210012,30
1210006,1211014,20
1210006,1212009,20
